,tag,patterns,responses
0,greeting,Hi,Halo. Ceritakan bagaimana perasaan Anda hari ini?
1,greeting,Hi,Hai. Apa yang membawamu kemari hari ini?
2,greeting,Hi,Hai. Bagaimana perasaan Anda hari ini?
3,greeting,Hi,Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?
4,greeting,Hi,Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?
5,greeting,Hey,Halo. Ceritakan bagaimana perasaan Anda hari ini?
6,greeting,Hey,Hai. Apa yang membawamu kemari hari ini?
7,greeting,Hey,Hai. Bagaimana perasaan Anda hari ini?
8,greeting,Hey,Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?
9,greeting,Hey,Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?
10,greeting,Apakah ada orang disana?,Halo. Ceritakan bagaimana perasaan Anda hari ini?
11,greeting,Apakah ada orang disana?,Hai. Apa yang membawamu kemari hari ini?
12,greeting,Apakah ada orang disana?,Hai. Bagaimana perasaan Anda hari ini?
13,greeting,Apakah ada orang disana?,Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?
14,greeting,Apakah ada orang disana?,Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?
15,greeting,Halo,Halo. Ceritakan bagaimana perasaan Anda hari ini?
16,greeting,Halo,Hai. Apa yang membawamu kemari hari ini?
17,greeting,Halo,Hai. Bagaimana perasaan Anda hari ini?
18,greeting,Halo,Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?
19,greeting,Halo,Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?
20,greeting,Hello,Halo. Ceritakan bagaimana perasaan Anda hari ini?
21,greeting,Hello,Hai. Apa yang membawamu kemari hari ini?
22,greeting,Hello,Hai. Bagaimana perasaan Anda hari ini?
23,greeting,Hello,Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?
24,greeting,Hello,Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?
25,greeting,Apa kabar,Halo. Ceritakan bagaimana perasaan Anda hari ini?
26,greeting,Apa kabar,Hai. Apa yang membawamu kemari hari ini?
27,greeting,Apa kabar,Hai. Bagaimana perasaan Anda hari ini?
28,greeting,Apa kabar,Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?
29,greeting,Apa kabar,Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?
30,morning,Selamat pagi,Selamat pagi. Saya harap Anda tidur nyenyak semalam. Bagaimana perasaan Anda hari ini?
31,morning,Selamat pagi,Selamat pagi. Saya benar-benar berharap Anda memiliki malam yang nyaman. Bagaimana kabar Anda hari ini?
32,morning,Selamat pagi,Selamat pagi. Saya berharap Anda bangun dengan semangat yang baik. Bagaimana keadaan Anda hari ini?
33,morning,Selamat pagi,Pagi yang cerah. Semoga Anda merasa segar dan bugar hari ini. Bagaimana kabar Anda?
34,morning,pagi,Selamat pagi. Saya harap Anda tidur nyenyak semalam. Bagaimana perasaan Anda hari ini?
35,morning,pagi,Selamat pagi. Saya benar-benar berharap Anda memiliki malam yang nyaman. Bagaimana kabar Anda hari ini?
36,morning,pagi,Selamat pagi. Saya berharap Anda bangun dengan semangat yang baik. Bagaimana keadaan Anda hari ini?
37,morning,pagi,Pagi yang cerah. Semoga Anda merasa segar dan bugar hari ini. Bagaimana kabar Anda?
38,afternoon,Selamat siang,Selamat siang. Bagaimana harimu?
39,afternoon,Selamat siang,Siang yang cerah. Bagaimana harimu berjalan?
40,afternoon,Selamat siang,Selamat siang. Apa kabar? Bagaimana harimu?
41,afternoon,Selamat siang,Selamat siang. Semoga hari Anda menyenangkan. Bagaimana kabar Anda?
42,afternoon,Selamat siang,Siang yang indah. Bagaimana keadaanmu hari ini?
43,afternoon,siang,Selamat siang. Bagaimana harimu?
44,afternoon,siang,Siang yang cerah. Bagaimana harimu berjalan?
45,afternoon,siang,Selamat siang. Apa kabar? Bagaimana harimu?
46,afternoon,siang,Selamat siang. Semoga hari Anda menyenangkan. Bagaimana kabar Anda?
47,afternoon,siang,Siang yang indah. Bagaimana keadaanmu hari ini?
48,evening,Selamat sore,Selamat sore. Bagaimana harimu?
49,evening,Selamat sore,Sore yang baik. Bagaimana perjalanannya hari ini?
50,evening,Selamat sore,Selamat sore. Apa kabar? Bagaimana harimu berjalan?
51,evening,Selamat sore,Sore yang menyenangkan. Bagaimana keadaanmu hari ini?
52,evening,Selamat sore,Selamat sore. Semoga hari Anda berjalan lancar. Bagaimana kabar Anda?
53,evening,sore,Selamat sore. Bagaimana harimu?
54,evening,sore,Sore yang baik. Bagaimana perjalanannya hari ini?
55,evening,sore,Selamat sore. Apa kabar? Bagaimana harimu berjalan?
56,evening,sore,Sore yang menyenangkan. Bagaimana keadaanmu hari ini?
57,evening,sore,Selamat sore. Semoga hari Anda berjalan lancar. Bagaimana kabar Anda?
58,night,Selamat malam,Selamat malam. Pastikan Anda tidur dengan cukup.
59,night,Selamat malam,Selamat malam. Mimpi indah.
60,night,malam,Selamat malam. Pastikan Anda tidur dengan cukup.
61,night,malam,Selamat malam. Mimpi indah.
62,goodbye,Sampai jumpa,Sampai jumpa lagi 
63,goodbye,Sampai jumpa,Semoga harimu menyenangkan
64,goodbye,Selamat tinggal,Sampai jumpa lagi 
65,goodbye,Selamat tinggal,Semoga harimu menyenangkan
66,goodbye,Sayonara,Sampai jumpa lagi 
67,goodbye,Sayonara,Semoga harimu menyenangkan
68,goodbye,ok bye,Sampai jumpa lagi 
69,goodbye,ok bye,Semoga harimu menyenangkan
70,goodbye,bye,Sampai jumpa lagi 
71,goodbye,bye,Semoga harimu menyenangkan
72,goodbye,Sampai jumpa,Sampai jumpa lagi 
73,goodbye,Sampai jumpa,Semoga harimu menyenangkan
74,goodbye,Sampai jumpa lagi,Sampai jumpa lagi 
75,goodbye,Sampai jumpa lagi,Semoga harimu menyenangkan
76,goodbye,Semoga sukses,Sampai jumpa lagi 
77,goodbye,Semoga sukses,Semoga harimu menyenangkan
78,thanks,Terima kasih,Senang membantu!
79,thanks,Terima kasih,Kapan saja!
80,thanks,Terima kasih,Dengan senang hati 
81,thanks,Terima kasih,Sama - sama!
82,thanks,Itu sangat membantu,Senang membantu!
83,thanks,Itu sangat membantu,Kapan saja!
84,thanks,Itu sangat membantu,Dengan senang hati 
85,thanks,Itu sangat membantu,Sama - sama!
86,thanks,Terima kasih atas bantuannya,Senang membantu!
87,thanks,Terima kasih atas bantuannya,Kapan saja!
88,thanks,Terima kasih atas bantuannya,Dengan senang hati 
89,thanks,Terima kasih atas bantuannya,Sama - sama!
90,thanks,Terima kasih banyak,Senang membantu!
91,thanks,Terima kasih banyak,Kapan saja!
92,thanks,Terima kasih banyak,Dengan senang hati 
93,thanks,Terima kasih banyak,Sama - sama!
