,tag,patterns,responses
0,greeting,Hi,"['Halo. Ceritakan bagaimana perasaan Anda hari ini?', 'Hai. Apa yang membawamu kemari hari ini?', 'Hai. Bagaimana perasaan Anda hari ini?', 'Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?', 'Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?']"
1,greeting,Hey,"['Halo. Ceritakan bagaimana perasaan Anda hari ini?', 'Hai. Apa yang membawamu kemari hari ini?', 'Hai. Bagaimana perasaan Anda hari ini?', 'Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?', 'Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?']"
2,greeting,Apakah ada orang disana?,"['Halo. Ceritakan bagaimana perasaan Anda hari ini?', 'Hai. Apa yang membawamu kemari hari ini?', 'Hai. Bagaimana perasaan Anda hari ini?', 'Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?', 'Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?']"
3,greeting,Halo,"['Halo. Ceritakan bagaimana perasaan Anda hari ini?', 'Hai. Apa yang membawamu kemari hari ini?', 'Hai. Bagaimana perasaan Anda hari ini?', 'Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?', 'Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?']"
4,greeting,Hello,"['Halo. Ceritakan bagaimana perasaan Anda hari ini?', 'Hai. Apa yang membawamu kemari hari ini?', 'Hai. Bagaimana perasaan Anda hari ini?', 'Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?', 'Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?']"
5,greeting,Apa kabar,"['Halo. Ceritakan bagaimana perasaan Anda hari ini?', 'Hai. Apa yang membawamu kemari hari ini?', 'Hai. Bagaimana perasaan Anda hari ini?', 'Senang bertemu dengan Anda. Bagaimana perasaan Anda saat ini?', 'Halo. Senang melihat Anda kembali. Apa yang sedang terjadi di duniamu saat ini?']"
6,morning,Selamat pagi,"['Selamat pagi. Saya harap Anda tidur nyenyak semalam. Bagaimana perasaan Anda hari ini?', 'Selamat pagi. Saya benar-benar berharap Anda memiliki malam yang nyaman. Bagaimana kabar Anda hari ini?', 'Selamat pagi. Saya berharap Anda bangun dengan semangat yang baik. Bagaimana keadaan Anda hari ini?', 'Pagi yang cerah. Semoga Anda merasa segar dan bugar hari ini. Bagaimana kabar Anda?']"
7,morning,pagi,"['Selamat pagi. Saya harap Anda tidur nyenyak semalam. Bagaimana perasaan Anda hari ini?', 'Selamat pagi. Saya benar-benar berharap Anda memiliki malam yang nyaman. Bagaimana kabar Anda hari ini?', 'Selamat pagi. Saya berharap Anda bangun dengan semangat yang baik. Bagaimana keadaan Anda hari ini?', 'Pagi yang cerah. Semoga Anda merasa segar dan bugar hari ini. Bagaimana kabar Anda?']"
8,afternoon,Selamat siang,"['Selamat siang. Bagaimana harimu?', 'Siang yang cerah. Bagaimana harimu berjalan?', 'Selamat siang. Apa kabar? Bagaimana harimu?', 'Selamat siang. Semoga hari Anda menyenangkan. Bagaimana kabar Anda?', 'Siang yang indah. Bagaimana keadaanmu hari ini?']"
9,afternoon,siang,"['Selamat siang. Bagaimana harimu?', 'Siang yang cerah. Bagaimana harimu berjalan?', 'Selamat siang. Apa kabar? Bagaimana harimu?', 'Selamat siang. Semoga hari Anda menyenangkan. Bagaimana kabar Anda?', 'Siang yang indah. Bagaimana keadaanmu hari ini?']"
